,Season,PlayerID,Contract_Type,Value
106,2022-23,201935.0,Player Option,47366760.0
107,2020-21,201145.0,Guaranteed,1620564.0
108,2020-21,203925.0,Guaranteed,16071429.0
109,2021-22,203925.0,Guaranteed,17357143.0
110,2022-23,203925.0,Guaranteed,18642857.0
111,2023-24,203925.0,Guaranteed,19928571.0
112,2020-21,201142.0,Guaranteed,40108950.0
113,2021-22,201142.0,Guaranteed,42018900.0
114,2022-23,201142.0,Player Option,43928850.0
115,2020-21,202681.0,Guaranteed,33460350.0
116,2021-22,202681.0,Guaranteed,35053700.0
117,2022-23,202681.0,Player Option,36647050.0
118,2020-21,200746.0,Guaranteed,554988.0
119,2020-21,1629013.0,Guaranteed,2090040.0
120,2021-22,1629013.0,Guaranteed,3768342.0
121,2022-23,1629013.0,Qualifying Offer,5562073.0
122,2020-21,1629651.0,Guaranteed,1517981.0
123,2021-22,1629651.0,Guaranteed,1782621.0
124,2022-23,1629651.0,Qualifying Offer,2228276.0
125,2020-21,203943.0,Not With Team,263995.0
126,2020-21,203658.0,Not With Team,217845.0
127,2020-21,203915.0,Guaranteed,11454048.0
128,2021-22,203915.0,Player Option,12302496.0
129,2020-21,,Guaranteed,1824003.0
130,2020-21,1629076.0,Not With Team,99020.0
131,2020-21,204020.0,Guaranteed,1620564.0
132,2020-21,202687.0,Guaranteed,3500000.0
133,2020-21,202954.0,Guaranteed,2250000.0
134,2021-22,202954.0,Qualifying Offer,2812500.0
135,2020-21,1628997.0,Guaranteed,1517981.0
136,2021-22,1628997.0,Non-Guaranteed,1782621.0
137,2022-23,1628997.0,Qualifying Offer,2228821.0
138,2020-21,1628998.0,Guaranteed,1517981.0
139,2021-22,1628998.0,Non-Guaranteed,1782621.0
140,2022-23,1628998.0,Qualifying Offer,2228821.0
141,2020-21,203469.0,Guaranteed,15415730.0
142,2020-21,1628984.0,Guaranteed,1663861.0
143,2021-22,1628984.0,Qualifying Offer,4736102.0
144,2020-21,202330.0,Guaranteed,28500000.0
145,2021-22,202330.0,Guaranteed,29925000.0
146,2022-23,202330.0,Guaranteed,30075000.0
147,2023-24,202330.0,Guaranteed,31500000.0
148,2020-21,1629667.0,Guaranteed,1517981.0
149,2021-22,1629667.0,Non-Guaranteed,1782621.0
150,2022-23,1629667.0,Team Option,1930681.0
151,2020-21,,Guaranteed,7839960.0
152,2021-22,,Guaranteed,8231760.0
153,2022-23,,Team Option,8623920.0
154,2023-24,,Team Option,10900635.0
155,2024-25,,Qualifying Offer,14301633.0
156,2020-21,1628370.0,Guaranteed,5345687.0
157,2021-22,1628370.0,Qualifying Offer,7318246.0
158,2020-21,1628970.0,Guaranteed,3934320.0
159,2021-22,1628970.0,Guaranteed,5421493.0
160,2022-23,1628970.0,Qualifying Offer,7459974.0
161,2020-21,,Guaranteed,1000000.0
162,2021-22,,Guaranteed,1517981.0
163,2022-23,,Guaranteed,1782621.0
164,2023-24,,Qualifying Offer,2228270.0
165,2020-21,201587.0,Not With Team,9043478.0
166,2021-22,201587.0,Not With Team,9043478.0
167,2022-23,201587.0,Not With Team,9043478.0
168,2020-21,,Guaranteed,4023600.0
169,2021-22,,Guaranteed,4215120.0
170,2022-23,,Team Option,5808435.0
171,2023-24,,Qualifying Offer,7992407.0
172,2020-21,1626179.0,Guaranteed,18900000.0
173,2021-22,1626179.0,Guaranteed,17905263.0
174,2020-21,,Guaranteed,1350000.0
175,2021-22,,Guaranteed,1517981.0
176,2022-23,,Guaranteed,1782621.0
177,2023-24,,Team Option,1930681.0
178,2021-22,1629690.0,Qualifying Offer,1669178.0
179,2020-21,,Guaranteed,9720900.0
180,2021-22,,Player Option,10183800.0
181,2020-21,1629632.0,Guaranteed,5572680.0
182,2021-22,1629632.0,Guaranteed,5837760.0
183,2022-23,1629632.0,Team Option,7413955.0
184,2023-24,1629632.0,Qualifying Offer,9942114.0
185,2020-21,1626245.0,Guaranteed,7529020.0
186,2020-21,1628464.0,Guaranteed,5000000.0
187,2020-21,1627756.0,Guaranteed,4642800.0
188,2020-21,202066.0,Guaranteed,4767000.0
189,2020-21,1629750.0,Guaranteed,1517981.0
190,2021-22,1629750.0,Qualifying Offer,1897476.0
191,2020-21,1628374.0,Guaranteed,6731508.0
192,2021-22,1628374.0,Qualifying Offer,9026852.0
193,2020-21,202696.0,Guaranteed,26000000.0
194,2021-22,202696.0,Guaranteed,24000000.0
